Customer Number,Certificate Number,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals
"841","63-R-0107","2024","","","","46","62","12","","","",""
"842","55-R-0005","2024","41","48","18","","17","","36","392","312",""
"843","63-R-0105","2024","27","","","443","15","","12","64","241",""
"844","65-R-0102","2024","","","8","","98","111","","","",""
"845","63-R-0007","2024","","","","116","22","","","","",""
"846","63-R-0014","2024","","","","","1","","","","5",""
"847","63-R-0019","2024","198","39","","","","","","","97",""
"851","63-R-0002","2024","","","","","","","","","",""
"852","63-R-0006","2024","","","","176","","","","","",""
"853","63-R-0011","2024","","","","","","","","","",""
"854","64-R-0008","2024","","","19","","2","","","","",""
"857","64-R-0002","2024","","","","","","","","","116",""
"859","58-R-0003","2024","722","352","","","","","18","59","306",""
"860","61-R-0008","2024","29","34","","","","","","20","86",""
"862","55-R-0019","2024","31","27","","","","","","","8",""
"863","55-R-0003","2024","23","","","282","319","188","","276","",""
"868","58-R-0021","2024","","","","","","323","","","",""
"871","58-R-0005","2024","","","","","","","20","22","",""
"872","58-R-0007","2024","","","","4","","11","","221","2",""
"873","58-R-0001","2024","","","","","","","","","",""
"874","58-R-0012","2024","","","","","","","","","",""
"875","58-R-0174","2024","","","","","","","","","",""
"878","64-R-0001","2024","6","","","302","","121","","","",""
"883","57-R-0124","2024","","","","","","","","","",""
"884","57-R-0015","2024","613","38","","","","","","","",""
"885","57-R-0017","2024","6","9","7","","4","","","","11",""
"888","61-R-0004","2024","110","55","","","14","","40","200","160",""
"891","57-R-0010","2024","","6","2","","36","","","","",""
"895","57-R-0002","2024","","","","","3","10","","12","",""
"896","57-R-0003","2024","","","315","269","","1732","","168","",""
"897","61-R-0001","2024","","","80","319","54","","2","220","",""
"898","61-R-0002","2024","50","","","","","64","7","12","",""
"900","57-R-0005","2024","94","99","","581","42","104","","663","195",""
"901","56-R-0003","2024","20","","","","","","","","",""
"902","56-R-0004","2024","","","2","","12","","","","",""
"903","56-R-0114","2024","","","","22","","","","","",""
"905","56-R-0105","2024","","","","","","431","","","",""
"907","57-R-0012","2024","","","","2422","","42","","","",""
"908","58-R-0170","2024","","","","","","","","","",""
"909","58-R-0041","2024","","","","","","","","","",""
"910","57-R-0004","2024","","","","","12","","","","",""
"914","58-R-0023","2024","194","210","","","58","","","","",""
"925","56-R-0001","2024","","","6","","3","","","51","",""
"926","56-R-0002","2024","","","","","","","","31","38",""
"928","64-R-0102","2024","104","","","","","","","","",""
"930","58-R-0015","2024","","","32","43","13","","","78","",""
"931","58-V-0003","2024","","","","","","","","","",""
"933","58-V-0005","2024","","","","","","","","","",""
"935","61-V-0002","2024","","","","","","","","","",""
"936","61-V-0003","2024","","","","","","","","","",""
"947","57-F-0004","2024","174","41","258","128","74","175","","","23",""
"948","57-F-0003","2024","","","","","","","","87","",""
"949","58-V-0007","2024","","","","","","","","","",""
"953","65-R-0505","2024","","","","12","","","6","","",""
"955","55-F-0007","2024","","","","","","","","590","3388",""
"956","65-V-0002","2024","","","","","","","","","",""
"960","94-R-0109","2024","","","","","20","4284","","5","",""
"962","55-F-0001","2024","","","","","3","","","","",""
"963","65-F-0001","2024","","","","","","","","82","2",""
"965","63-F-0001","2024","","","","","","","","","",""
"966","58-F-0009","2024","","","","","","","","","",""
"982","55-V-0003","2024","","","","","","","","","",""
"985","56-V-0002","2024","","","","","","","","","",""
"986","56-V-0003","2024","","","","","","","","32","",""
"987","57-V-0001","2024","","","","","10","","","","",""
"988","55-R-0114","2024","","","","","7","","","","",""
"1007","57-V-0002","2024","","","","","","","","","",""
"1009","63-R-0113","2024","","","","","","","","47","",""
"1016","91-R-0001","2024","17","","","22","123","464","","136","20",""
"1022","91-R-0017","2024","","","","","","","","","",""
"1023","91-R-0018","2024","13","14","","","6","","","","5",""
"1026","91-R-0002","2024","","","","","5","","2","56","138",""
"1043","86-R-0002","2024","","9","","","2","57","","2","",""
"1044","86-R-0003","2024","","","","22","114","12","109","32","78",""
"1045","86-R-0005","2024","","","","","","","","34","",""
"1046","92-R-0001","2024","12","","37","","23","1371","38","43","",""
"1049","86-R-0006","2024","","","","","17","","","16","",""
"1051","86-R-0009","2024","","","","","68","","14","115","",""
"1052","92-R-0043","2024","","","","","6","","","","",""
"1055","92-R-0022","2024","21","20","","","4","","29","","13",""
"1057","92-R-0031","2024","","","","","","","","","",""
"1067","81-R-0001","2024","","","","9","","","","","",""
"1069","81-R-0002","2024","","","","","","","17","","5",""
"1071","85-R-0002","2024","","","","18","","","","","",""
"1072","85-R-0003","2024","503","","","2","126","709","","240","",""
"1073","85-R-0009","2024","","","","","","","","","",""
"1076","85-R-0014","2024","","","","120","6","","","","",""
"1077","85-R-0029","2024","80","","","","","","","","",""
"1078","82-R-0016","2024","","","","","","","","","",""
"1079","82-R-0002","2024","","","","","","","","","",""
"1080","84-R-0001","2024","","","26","","14","","","","",""
"1086","84-R-0007","2024","","","998","","72","","","","",""
"1090","84-R-0012","2024","18","5","4","1","10","","2","2","27",""
"1092","84-R-0013","2024","","1","4","4","3","","","","5",""
"1096","84-R-0095","2024","","","","","","","","","",""
"1115","93-R-0283","2024","","","","","1230","","","","31",""
"1121","93-R-0263","2024","","","","","21","","5","","119",""
"1128","93-R-0251","2024","30","","","","117","","","","",""
"1138","93-R-0183","2024","","","51","","47","","","","",""
"1139","93-R-0200","2024","","","","","5","","31","32","",""
