Account Name,Customer Number,Certificate Number,Registration Type,Certificate Status,Status Date,Address Line 1,Address Line 2,City-State-Zip,County
"University Of Tennessee - Memphis","841","63-R-0107","Class R - Research Facility","Active","","Office of Animal Care and use","910 Madison avenue Suite 650","MEMPHIS, TN 38163","Shelby"
"North Carolina State University","842","55-R-0005","Class R - Research Facility","Active","","CAMPUS BOX 7514","","RALEIGH, NC 27695","Wake"
"Univ Of Tennessee Knoxville Off Lab An Care","843","63-R-0105","Class R - Research Facility","Active","","2415 Fletcher Luck Lane","Third Creek Building","KNOXVILLE, TN 37996","Knox"
"University Of Mississippi Medical Center","844","65-R-0102","Class R - Research Facility","Active","","2500 N. STATE STREET","","JACKSON, MS 39216","Hinds"
"St Jude Childrens Research Hospital","845","63-R-0007","Class R - Research Facility","Active","","262 DANNY THOMAS PLACE","","MEMPHIS, TN 38105","Shelby"
"Columbia State Community College","846","63-R-0014","Class R - Research Facility","Active","","1665 Hampshire Pike","","Columbia, TN 38401","Maury"
"Lincoln Memorial University","847","63-R-0019","Class R - Research Facility","Active","","6965 CUMBERLAND GAP PKWY","","HARROGATE, TN 37752","Claiborne"
"Meharry Medical College (ANIMAL CARE FACILITY)","851","63-R-0002","Class R - Research Facility","Active","","1005 D.B. TODD JR BOULEVARD, ANI CARE FAC","","NASHVILLE, TN 37208","Davidson"
"University of Memphis","852","63-R-0006","Class R - Research Facility","Active","","Executive Vice President for Research & Innovation","365 Innovation Drive","MEMPHIS, TN 38152","Shelby"
"East Tennessee State University","853","63-R-0011","Class R - Research Facility","Active","","P.O. BOX 70418","","JOHNSON CITY, TN 37614","Washington"
"University Of South Alabama (COLLEGE OF MEDICINE)","854","64-R-0008","Class R - Research Facility","Active","","DEPT OF COMPARATIVE MEDICINE","992 MSB","MOBILE, AL 36688","Mobile"
"Tuskegee University","857","64-R-0002","Class R - Research Facility","Active","","101 Chappie James Center","","TUSKEGEE, AL 36088","Macon"
"University of Florida","859","58-R-0003","Class R - Research Facility","Active","","P.O. BOX 115500","","GAINESVILLE, FL 32611","Alachua"
"MURRAY STATE UNIVERSITY","860","61-R-0008","Class R - Research Facility","Active","","328 WELLS HALL","","MURRAY, KY 42071","Calloway"
"Central Carolina Community College","862","55-R-0019","Class R - Research Facility","Active","","1105 KELLY DRIVE","","SANFORD, NC 27330","Lee"
"Duke University","863","55-R-0003","Class R - Research Facility","Active","","Office Of Animal Welfare Assurance","2424 Erwin Rd Ste 606","Durham, NC 27705","Durham"
"The Mannheimer Foundation Inc","868","58-R-0021","Class R - Research Facility","Active","","20255 S W 360 STREET","","HOMESTEAD, FL 33034","Miami-Dade"
