Account Name,Customer Number,Certificate Number,Registration Type,Certificate Status,Status Date,Address Line 1,Address Line 2,City-State-Zip,County
"Utah State University","2","87-R-0002","Class R - Research Facility","Active","","V.P. FOR RESEARCH/1450 OLD MAIN HILL","","LOGAN, UT 84322","Cache"
"Brigham Young University","3","87-R-0003","Class R - Research Facility","Active","","Research Administration Office","A-285, ASB","PROVO, UT 84602","Utah"
"Weber State University","5","87-R-0008","Class R - Research Facility","Active","","3850 Dixon Parkway Department 1027","","OGDEN, UT 84408","Weber"
"University of Utah","12","87-R-0001","Class R - Research Facility","Active","","OFFICE OF COMPARATIVE MEDICINE","75 SOUTH 2000 EAST, SUITE 311","SALT LAKE CITY, UT 84112","Salt Lake"
"University of Alaska Fairbanks","15","96-R-0001","Class R - Research Facility","Active","","PO Box 756980","1033 Sheenjek Dr. 103 BiRD Bldg.","Fairbanks, AK 99775","Fairbanks North Star"
"University of Wyoming","16","83-R-0001","Class R - Research Facility","Active","","1000 E. University Ave.","Department 3355","Laramie, WY 82071","Albany"
"Eastern Wyoming College","17","83-R-0004","Class R - Research Facility","Active","","3200 WEST C STREET","","TORRINGTON, WY 82240","Goshen"
"Queens Medical Center","18","95-R-0003","Class R - Research Facility","Active","","1301 PUNCHBOWL STREET","","HONOLULU, HI 96813","Honolulu"
"University of Hawaii System","19","95-R-0002","Class R - Research Facility","Active","","2425 Campus Road, Sinclair 10","","Honolulu, HI 96822","Honolulu"
"Connecticut College","39","16-R-0017","Class R - Research Facility","Active","","270 MOHEGAN AVENUE","","NEW LONDON, CT 06320","New London"
"UCONN Health Center","44","16-R-0025","Class R - Research Facility","Active","","263 FARMINGTON AVENUE","","FARMINGTON, CT 06030","Hartford"
"University Of Delaware","45","50-R-0006","Class R - Research Facility","Active","","79 E DELAWARE AVENUE","","NEWARK, DE 19711","New Castle"
"Quinnipiac University","46","16-R-0060","Class R - Research Facility","Active","","275 Mount Carmel Avenue","EC-BMS Biomedical Sciences","Hamden, CT 06518","New Haven"
"The Nemours Foundation (ALFRED I DUPONT HOSPITAL FOR CHILDREN)","47","50-R-0009","Class R - Research Facility","Active","","1600 ROCKLAND RD","","WILMINGTON, DE 19803","New Castle"
"Yale University","48","16-R-0001","Class R - Research Facility","Active","","OFFICE OF RESEARCH ADMIN","PO BOX 208327","NEW HAVEN, CT 06520","New Haven"
"John B. Pierce Laboratory","50","16-R-0057","Class R - Research Facility","Cancelled","","290 Congress Ave","","New Haven, CT 06519","New Haven"
"Hartford Hospital","51","16-R-0007","Class R - Research Facility","Active","","DIR., PRECLINICAL RES. DEPT, CRANE 4, 80 SEYMOUR STREET, P O BOX 5037","","HARTFORD, CT 06102","Hartford"
"University of Connecticut","52","16-R-0008","Class R - Research Facility","Active","","438 Whitney Rd Ext. Unit 1006, Whetten Grad Center","","Storrs, CT 06269","Tolland"
"Boehringer Ingelheim Pharmaceuticals Inc","55","16-R-0029","Class R - Research Facility","Active","","900 RIDGEBURY ROAD,  BOX 368","ATTN: Animal Resources","RIDGEFIELD, CT 06877","Fairfield"
"Sea Research Foundation, Inc (Mystic Aquarium)","56","16-R-0031","Class R - Research Facility","Active","","55 Coogan Blvd.","","Mystic, CT 06355","New London"
"Childrens National Medical Center (CHILDRENS RESEARCH INSTITUTE)","59","10-R-0011","Class R - Research Facility","Active","","111 MICHIGAN AVENUE, NW, ROOM 115","","WASHINGTON, DC 20010","District of Columbia"
"The CT Agriculture Experiment Station","61","16-R-0039","Class R - Research Facility","Active","","123 HUNTINGTON STREET","BOX 1106","NEW HAVEN, CT 06504","New Haven"
"MedStar Health Research Institute (WASHINGTON HOSPITAL CENTER)","66","10-R-0001","Class R - Research Facility","Active","","GEORGE HYMAN MEM.RESEARCH BLDG RM 126","108 IRVING STREET NW","WASHINGTON, DC 20010","District of Columbia"
"Bushover's Biologicals, Inc.","68","11-R-0012","Class R - Research Facility","Active","","992 CROSS HILL ROAD","","VASSALBORO, ME 04989","Kennebec"
"Georgetown University","69","10-R-0004","Class R - Research Facility","Active","","3950 RESERVOIR RD, NW","BASIC SCIENCE ROOM G05","WASHINGTON, DC 20057","District of Columbia"
"The George Washington University","70","10-R-0005","Class R - Research Facility","Active","","2300 EYE ST NW","ANML RES FAC.,ROSS B-12","WASHINGTON, DC 20037","District of Columbia"
"Maine Medical Center (MaineHealth Institute for Research (MHIR))","71","11-R-0002","Class R - Research Facility","Active","","81 Research Drive","","Scarborough, ME 04074","Cumberland"
"University Of Maine","75","11-R-0006","Class R - Research Facility","Active","","5703 Alumni Hall","ROOM 311","ORONO, ME 04469","Penobscot"
"Johns Hopkins University","81","51-R-0006","Class R - Research Facility","Active","","720 Rutland Ave, Ross 459","","Baltimore, MD 21205","Baltimore city"
"Towson University (OFFICE OF SPONSORED PROGRAM & RESEARCH)","86","51-R-0099","Class R - Research Facility","Active","","Office of Sponsored Programs and Research 8000 York Rd","","Towson, MD 21252","Baltimore"
