id,slug,shortDescription,latitude,longitude,locationAccuracy,address,county,country,operator,name,classifications,icon,operational,permittedInstallationLicenseIssued,firstImportedAt,lastImportedAt
"1144","4385-genetica-el-bardal-sa","Granja de porcina y cerdas en Burgos","42.074303","-3.595475","Coordinates","5, Mecerreyes, 09346, Burgos, España","Burgos","Castilla y León","Genética El Bardal, S.a.","Genética El Bardal, S.a.","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"2342","3771-agotzaina-tordomar","Granja de avícola en Burgos","42.054286","-3.869456","Coordinates","Valleval S/n, Tordomar, 09341, Tordómar, Burgos, España","Burgos","Castilla y León","Agotzaina, S.l.","Agotzaina - Tordomar","GranjaAvícolaIntensiva","https://granjastransparentes.es/images/animals/poultry.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1738","5562-avicola-la-colina-sl","Granja de avícola en Guadalajara","40.334","-3.1167","Coordinates","Ctra Perales - Albares, Km. 67,50. Mondejar 19.110 (guadalajara), Mondejar, 19110, Mondéjar, Guadalajara, España","Guadalajara","Castilla-La Mancha","Avicola La Colina, S.l.","Avicola La Colina, S.l.","GranjaAvícolaIntensiva","https://granjastransparentes.es/images/animals/poultry.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"2341","2690-agotzaina-iscar","Granja de avícola en Valladolid","41.15377","-4.91278","Coordinates","Villaverde, Iscar, 47420, íscar, Valladolid, España","Valladolid","Castilla y León","Agotzaina, S.l.","Agotzaina – íscar","GranjaAvícolaIntensiva","https://granjastransparentes.es/images/animals/poultry.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1333","1783-granja-dos-hermanas-etxarren","Granja de porcina y cerdas en Navarra","42.92788","-1.84673","Coordinates","Carretera  Madoz, Etxarren, 31868, Arakil, Navarra, España","Navarra","Navarra","Granja  Dos  Hermanas, S.a.","Granja Dos Hermanas-etxarren","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"2379","11183-granja-rodriguez-serrano-sl","Granja de avícola en Salamanca","40.8244","-5.4812","Coordinates","60-66-67-71-72-140, Del Polígono 504,, 37800, Alba De Tormes, Salamanca, España","Salamanca","Castilla y León","Granja Rodríguez Serrano, S.l.","Granja Rodríguez Serrano, S.l.","GranjaAvícolaIntensiva","https://granjastransparentes.es/images/animals/poultry.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1779","6361-cortijo-santa-catalina","Granja de porcina y cerdas en Granada","37.130938","-3.762632","Coordinates","Santa Catalina, 18329, Chimeneas, Granada, España","Granada","Andalucía","Salvater 94, S.l.","Cortijo Santa Catalina","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1392","2653-huevos-alto-turia","Granja de avícola en Valencia","39.775561","-1.051361","Coordinates","Partida La Navaza, 46177, Tuéjar, Valencia/valència, España","Valencia","Comunidad Valenciana","Huevos Alto Turia, S.a.","Huevos Alto Turia","GranjaAvícolaIntensiva","https://granjastransparentes.es/images/animals/poultry.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"2657","5570-agricola-ganadera-hermanos-lopez-sl-aai-to-130","Granja de porcina en Toledo","39.834","-5.0518","Coordinates","Pol 14; Parc 107 Paraje Chozuelas. Calera Y Chozas  45.595 (toledo), Calera Y Chozas, 45600, Toledo, España","Toledo","Castilla-La Mancha","Agrícola Ganadera Hermanos López S.l.","Agrícola Ganadera Hermanos López S.l. (aai-to-130)","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1301","10532-finca-millan","Granja de porcina y cerdas en Granada","37.844","-2.303","Coordinates","Millán,, Puebla De Don Fadrique, 18820, Granada, España","Granada","Andalucía","Cefu, S.a.","Finca Millán","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
