Account Name,Customer Number_x,Certificate Number,Registration Type,Certificate Status,Status Date,Address Line 1,Address Line 2,City-State-Zip,County,Customer Number_y,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals,latitude,longitude
Utah State University,2,87-R-0002,Class R - Research Facility,Active,,V.P. FOR RESEARCH/1450 OLD MAIN HILL,,"LOGAN, UT 84322",Cache,2,2024,,,83,1440,,,230,22,88,,,
Brigham Young University,3,87-R-0003,Class R - Research Facility,Active,,Research Administration Office,"A-285, ASB","PROVO, UT 84602",Utah,3,2024,,,,,,,,,,,,
Weber State University,5,87-R-0008,Class R - Research Facility,Active,,3850 Dixon Parkway Department 1027,,"OGDEN, UT 84408",Weber,5,2024,,,,,,,,,,,,
University of Utah,12,87-R-0001,Class R - Research Facility,Active,,OFFICE OF COMPARATIVE MEDICINE,"75 SOUTH 2000 EAST, SUITE 311","SALT LAKE CITY, UT 84112",Salt Lake,12,2024,43,8,151,,290,27,151,101,,,40.7596198,-111.886797
University of Alaska Fairbanks,15,96-R-0001,Class R - Research Facility,Active,,PO Box 756980,1033 Sheenjek Dr. 103 BiRD Bldg.,"Fairbanks, AK 99775",Fairbanks North Star,15,2024,,,,,,,,,23,,64.837845,-147.716675
University of Wyoming,16,83-R-0001,Class R - Research Facility,Active,,1000 E. University Ave.,Department 3355,"Laramie, WY 82071",Albany,16,2024,,,,,,,,30,,,41.314986,-105.5643222
Eastern Wyoming College,17,83-R-0004,Class R - Research Facility,Active,,3200 WEST C STREET,,"TORRINGTON, WY 82240",Goshen,17,2024,79,102,3,2,14,,,,64,,42.0768828,-104.189511
Queens Medical Center,18,95-R-0003,Class R - Research Facility,Active,,1301 PUNCHBOWL STREET,,"HONOLULU, HI 96813",Honolulu,18,2024,,,,,,,,,,,21.3081251,-157.8539123
University of Hawaii System,19,95-R-0002,Class R - Research Facility,Active,,"2425 Campus Road, Sinclair 10",,"Honolulu, HI 96822",Honolulu,19,2024,118,69,12,,5,,82,,230,,,
Connecticut College,39,16-R-0017,Class R - Research Facility,Active,,270 MOHEGAN AVENUE,,"NEW LONDON, CT 06320",New London,39,2024,,,,,,,,,,,41.3791334,-72.1065306
UCONN Health Center,44,16-R-0025,Class R - Research Facility,Active,,263 FARMINGTON AVENUE,,"FARMINGTON, CT 06030",Hartford,44,2024,,,,,136,,,,,,,
University Of Delaware,45,50-R-0006,Class R - Research Facility,Active,,79 E DELAWARE AVENUE,,"NEWARK, DE 19711",New Castle,45,2024,,,,,,,,,,,39.6818929,-75.7517187
Quinnipiac University,46,16-R-0060,Class R - Research Facility,Active,,275 Mount Carmel Avenue,EC-BMS Biomedical Sciences,"Hamden, CT 06518",New Haven,46,2024,,,,,,,,,,,41.4181949,-72.8931049
The Nemours Foundation (ALFRED I DUPONT HOSPITAL FOR CHILDREN),47,50-R-0009,Class R - Research Facility,Active,,1600 ROCKLAND RD,,"WILMINGTON, DE 19803",New Castle,47,2024,,,,,,,,45,,,39.779725,-75.555041
Yale University,48,16-R-0001,Class R - Research Facility,Active,,OFFICE OF RESEARCH ADMIN,PO BOX 208327,"NEW HAVEN, CT 06520",New Haven,48,2024,12,,69,432,20,101,2,92,,,41.2976052,-72.9265437
John B. Pierce Laboratory,50,16-R-0057,Class R - Research Facility,Cancelled,,290 Congress Ave,,"New Haven, CT 06519",New Haven,50,2024,,,,,,,,57,,,,
Hartford Hospital,51,16-R-0007,Class R - Research Facility,Active,,"DIR., PRECLINICAL RES. DEPT, CRANE 4, 80 SEYMOUR STREET, P O BOX 5037",,"HARTFORD, CT 06102",Hartford,51,2024,,,,,,,,53,,,,
University of Connecticut,52,16-R-0008,Class R - Research Facility,Active,,"438 Whitney Rd Ext. Unit 1006, Whetten Grad Center",,"Storrs, CT 06269",Tolland,52,2024,,,36,,71,,,,25,,,
Boehringer Ingelheim Pharmaceuticals Inc,55,16-R-0029,Class R - Research Facility,Active,,"900 RIDGEBURY ROAD,  BOX 368",ATTN: Animal Resources,"RIDGEFIELD, CT 06877",Fairfield,55,2024,44,,,,10,67,,,,,,
"Sea Research Foundation, Inc (Mystic Aquarium)",56,16-R-0031,Class R - Research Facility,Active,,55 Coogan Blvd.,,"Mystic, CT 06355",New London,56,2024,,,,,,,,,,,41.3726094,-71.9577496
Childrens National Medical Center (CHILDRENS RESEARCH INSTITUTE),59,10-R-0011,Class R - Research Facility,Active,,"111 MICHIGAN AVENUE, NW, ROOM 115",,"WASHINGTON, DC 20010",District of Columbia,59,2024,,,15,,,,,73,,,,
The CT Agriculture Experiment Station,61,16-R-0039,Class R - Research Facility,Active,,123 HUNTINGTON STREET,BOX 1106,"NEW HAVEN, CT 06504",New Haven,61,2024,,,3,,2,,,,,,,
MedStar Health Research Institute (WASHINGTON HOSPITAL CENTER),66,10-R-0001,Class R - Research Facility,Active,,GEORGE HYMAN MEM.RESEARCH BLDG RM 126,108 IRVING STREET NW,"WASHINGTON, DC 20010",District of Columbia,66,2024,,,,,56,,,88,,,,
"Bushover's Biologicals, Inc.",68,11-R-0012,Class R - Research Facility,Active,,992 CROSS HILL ROAD,,"VASSALBORO, ME 04989",Kennebec,68,2024,,,,,25,,,,14,,44.396293,-69.6457299
Georgetown University,69,10-R-0004,Class R - Research Facility,Active,,"3950 RESERVOIR RD, NW",BASIC SCIENCE ROOM G05,"WASHINGTON, DC 20057",District of Columbia,69,2024,,,,46,,14,,,,,,
The George Washington University,70,10-R-0005,Class R - Research Facility,Active,,2300 EYE ST NW,"ANML RES FAC.,ROSS B-12","WASHINGTON, DC 20037",District of Columbia,70,2024,8,,8,198,12,,,,,,38.9013518,-77.0457669
Maine Medical Center (MaineHealth Institute for Research (MHIR)),71,11-R-0002,Class R - Research Facility,Active,,81 Research Drive,,"Scarborough, ME 04074",Cumberland,71,2024,,,,,,,,,,,43.6047059,-70.3138621
University Of Maine,75,11-R-0006,Class R - Research Facility,Active,,5703 Alumni Hall,ROOM 311,"ORONO, ME 04469",Penobscot,75,2024,,,,,5,,,,,,,
Johns Hopkins University,81,51-R-0006,Class R - Research Facility,Active,,"720 Rutland Ave, Ross 459",,"Baltimore, MD 21205",Baltimore city,81,2024,49,310,390,179,485,96,6,533,,,,
Towson University (OFFICE OF SPONSORED PROGRAM & RESEARCH),86,51-R-0099,Class R - Research Facility,Active,,Office of Sponsored Programs and Research 8000 York Rd,,"Towson, MD 21252",Baltimore,86,2024,,,,,,,,,,,,
University of Maryland Baltimore,89,51-R-0018,Class R - Research Facility,Active,,"10 S PINE ST. RM G-100, MSTF BLDG",,"BALTIMORE, MD 21201",Baltimore city,89,2024,,,15,,420,114,,53,,,,
Community College Of Baltimore County (C C B C),90,51-R-0020,Class R - Research Facility,Active,,7201 ROSSVILLE BLVD,Vet Tech - Mash basement,"BALTIMORE, MD 21237",Baltimore city,90,2024,43,13,,,,,,,,,39.3505172,-76.483994
University of Maryland College Park,91,51-R-0095,Class R - Research Facility,Active,,DIRECTOR LABORATORY ANIMAL CARE,COLLEGE PARK CAMPUS,"COLLEGE PARK, MD 20742",Prince George's,91,2024,,,6,,,,,14,,,,
