Est Number,Company,Street,City,State,Zip,Phone,DBAS
11,"Lineage Logistics PFS, LLC","275 BLAIR ROAD","AVENEL","NJ","07001","(908) 282-6500","NA"
110,"Atlantic Coast Freezers LLC","2192 NW Blvd","VINELAND","NJ","08360","(856) 696-1770","NA"
1101,"Lineage Logistics, LLC","2001 W. Garfield Street","SEATTLE","WA","98119","(206) 285-6500","NA"
1102,"Cool Port Oakland","575 Maritime Street","OAKLAND","CA","94607","(510) 564-8788","Dreisbach, Cool Port"
1103,"Northwestern Selecta, Inc.","641 Calle B, Mario Julia Ind. Park","SAN JUAN","PR","00922","(787) 781-1950","NA"
"11036+V1036","Americold Logistics LLC.","2321 Industrial Way","VINELAND","NJ","08360","(856) 690-9000","NA"
"1105+V105","MTC Logistics, Inc.","250 Yeend Street","MOBILE","AL","36603","(443) 727-8800","NA"
1107,"Jose Santiago, Inc.","Margianl Carr #5, Km. 4.4. Urb","BAYAMON","PR","00959","(787) 288-8835","NA"
111,"Dynamic Ventures Inc.","165-K Guerrero Street","HARMON","GU","96913","(671) 649-9788","Quality Distributors"
"1112+V112","Lineage Logistics PFS, LLC","601 Crossroads Blvd","LOGAN TOWNSHIP","NJ","08085","(800) 678-7271","NA"
1114,"Konoike Pacific California, Inc.","1420 Coil Avenue","WILMINGTON","CA","90744","(310) 518-1000","NA"
"1116+V116","Celebrity Foods Division of Atalanta Corporation","1 Atalanta Plaza","ELIZABETH","NJ","07206","(908) 351-8000","NA"
1119,"Supermercados Econo, Inc.","State Road #3 Km. 16.2, Lot 13 Bo.","CANOVANAS","PR","00729","(787) 620-9292","NA"
"1121+V121","RSF Inc. ""DBA"" Freezpak Logistics","1029 Newark Avenue","ELIZABETH","NJ","07208","(973) 523-1899","Freezpak Logistics"
"1123+V123","Lineage Logistics, LLC","3200 Lineage Way","PORTSMOUTH","VA","23703","(757) 929-0100","NA"
1124,"Lineage Logistics, LLC","2375 Tremont Road","SAVANNAH","GA","31405","(912) 521-6500","NA"
"1125+V19857","Envision Cold","1600 Donner Avenue","SAN FRANCISCO","CA","94124","(415) 822-8445","United Cold Storage"
1129,"Sorbello Refrigerated Services","1269 North Main Road","VINELAND","NJ","08360","(707) 718-8294","NA"
"1130+V47695","JE Exports","1812 Pan American Street","CALEXICO","CA","92231","(619) 778-0236","JE Exports"
1133,"Port of Palm Cold Storage Inc.","1800 Martin Luther King Jr. Blvd.","RIVIERA BEACH","FL","33404","(561) 881-7256","NA"
1135,"Derstine's Inc.","3245 State Road","SELLERSVILLE","PA","18960","(212) 572-7000","NA"
1140,"Interstate Warehousing","121 Harwood Drive","NEWPORT NEWS","VA","2603","(757) 887-8100","NA"
1141,"Lineage Logistics, LLC","206 SW Michigan St","SEATTLE","WA","98106","(206) 834-9732","NA"
1143,"Americold Logistics LLC","1301 26th Ave East","TACOMA","WA","98424","(253) 620-7250","NA"
